City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,medford,42.3265,-122.8756,48.78,75,90,1.99,US,1675824719
187,gubkinskiy,64.434,76.5026,-13.83,100,80,8.97,RU,1675824719
188,narasannapeta,18.4167,84.05,74.7,68,4,4.92,IN,1675824720
189,rio grande,-32.035,-52.0986,73.98,72,0,15.41,BR,1675824720
190,salihorsk,52.7876,27.5415,12.85,97,38,2.86,BY,1675824721
191,timizart,36.8,4.2667,47.68,65,100,3.06,DZ,1675824721
192,miraflores,19.2167,-98.8083,66.87,54,0,3.36,MX,1675824722
193,oussouye,12.485,-16.5469,68.18,44,60,8.63,SN,1675824722
194,rio gallegos,-51.6226,-69.2181,57.25,77,0,20.71,AR,1675824724
195,fare,-16.7,-151.0167,80.74,70,9,10.07,PF,1675824724
196,coromandel,-18.4733,-47.2003,66.15,89,99,2.39,BR,1675824725
197,anamur,36.0751,32.8369,39.25,46,15,12.06,TR,1675824725
198,liverpool,53.4106,-2.9779,41.65,88,20,5.75,GB,1675824487
199,wuwei,37.9281,102.6414,25.83,84,100,8.72,CN,1675824726
200,ballina,-28.8667,153.5667,81.79,67,99,9.13,AU,1675824727
201,thaba-tseka,-29.522,28.6084,54.75,89,100,3.51,LS,1675824728
202,mahuva,21.0914,71.7622,71.24,46,5,8.55,IN,1675824728
203,gambiran,-6.7988,111.4951,75.16,93,100,3.78,ID,1675824729
204,andijon,40.7821,72.3442,31.28,93,90,0.0,UZ,1675824730
205,prnjavor,44.8703,17.6628,24.06,63,0,0.22,BA,1675824730
206,san carlos de bariloche,-41.1456,-71.3082,64.15,55,0,10.36,AR,1675824732
207,vardo,70.3705,31.1107,28.38,86,10,20.71,NO,1675824733
208,kaitangata,-46.2817,169.8464,58.91,49,18,14.99,NZ,1675824734
209,nkhotakota,-12.9274,34.2961,72.12,84,100,4.16,MW,1675824735
210,airai,-8.9266,125.4092,70.25,79,80,3.33,TL,1675824736
211,dunedin,-45.8742,170.5036,61.25,46,71,17.72,NZ,1675824461
212,rabat,33.9911,-6.8401,53.67,80,40,10.36,MA,1675824727
213,hammerfest,70.6634,23.6821,36.05,64,0,13.8,NO,1675824738
214,vila velha,-20.3297,-40.2925,80.55,90,40,8.05,BR,1675824738
215,shalyhyne,51.5717,34.1217,11.17,94,6,6.87,UA,1675824739
216,pevek,69.7008,170.3133,-21.84,95,100,3.29,RU,1675824739
217,mayumba,-3.432,10.6554,76.66,87,94,2.93,GA,1675824740
218,labuhan,-6.8844,112.2051,77.99,86,100,7.02,ID,1675824741
219,mar del plata,-38.0023,-57.5575,74.08,94,0,21.0,AR,1675824741
220,panjab,34.388,67.0233,17.62,95,100,2.01,AF,1675824742
221,luderitz,-26.6481,15.1594,65.17,82,19,19.01,NA,1675824742
222,faanui,-16.4833,-151.75,81.07,72,24,12.24,PF,1675824743
223,kieta,-6.2167,155.6333,85.73,67,31,8.43,PG,1675824744
224,murillo,4.8739,-75.1715,44.58,90,32,4.65,CO,1675824746
225,nemuro,43.3236,145.575,26.19,57,28,3.89,JP,1675824748
226,fort nelson,58.8053,-122.7002,13.59,92,0,3.44,CA,1675824748
227,tsybuliv,49.0766,29.8461,18.19,87,26,8.68,UA,1675824750
228,vanavara,60.34,102.2797,2.23,96,100,2.82,RU,1675824751
229,tilichiki,60.4667,166.1,-18.63,90,65,9.78,RU,1675824752
230,batanovci,42.5997,22.9506,22.08,87,66,3.22,BG,1675824752
231,lundazi,-12.2929,33.1782,62.49,97,100,5.19,ZM,1675824753
232,udachnyy,66.4167,112.4,-39.12,100,97,2.24,RU,1675824753
233,torbay,47.6666,-52.7314,26.58,86,75,24.16,CA,1675824754
234,flin flon,54.7682,-101.865,23.43,88,15,7.09,CA,1675824754
235,cape canaveral,28.4058,-80.6048,71.01,81,40,4.61,US,1675824693
236,lazaro cardenas,17.9583,-102.2,74.17,81,0,3.53,MX,1675824755
237,esperance,-33.8667,121.9,71.62,64,78,11.65,AU,1675824755
238,cockburn town,21.4612,-71.1419,77.88,74,0,23.55,TC,1675824515
239,islamkot,24.6997,70.177,67.15,34,4,4.7,PK,1675824756
240,havelock,34.8791,-76.9013,57.18,71,0,5.75,US,1675824756
241,ternate,0.8,127.4,76.87,90,100,10.38,ID,1675824756
242,phalaborwa,-23.943,31.1411,72.68,89,61,6.51,ZA,1675824757
243,sabha,27.0377,14.4283,51.93,40,97,12.48,LY,1675824757
244,bethel,41.3712,-73.414,37.94,82,100,3.44,US,1675824757
245,liepaja,56.5419,21.0367,35.58,87,100,14.97,LV,1675824758
246,chandausi,28.45,78.7667,55.04,51,0,7.74,IN,1675824758
247,opuwo,-18.0607,13.84,64.29,58,100,4.76,NA,1675824758
248,bilma,18.6853,12.9164,66.18,22,100,7.14,NE,1675824759
249,bealanana,-14.55,48.7333,64.36,95,100,3.89,MG,1675824759
250,xuchang,34.0167,113.8167,50.4,42,99,15.73,CN,1675824759
251,formosa,-26.1775,-58.1781,85.98,48,10,6.91,AR,1675824612
252,cidreira,-30.1811,-50.2056,75.36,81,10,14.34,BR,1675824760
253,key largo,25.0865,-80.4473,74.98,68,27,16.51,US,1675824525
254,gigmoto,13.7796,124.39,81.37,74,91,14.34,PH,1675824761
255,zhigansk,66.7697,123.3711,-46.44,97,100,6.55,RU,1675824761
256,huntersville,35.4107,-80.8429,53.89,61,0,0.0,US,1675824648
257,bada,51.392,109.8717,11.55,81,95,2.17,RU,1675824761
258,mantua,45.1667,10.7833,29.95,74,0,2.51,IT,1675824762
259,zabid,14.1951,43.3152,73.89,80,69,3.96,YE,1675824513
260,namibe,-15.1961,12.1522,69.69,76,96,5.39,AO,1675824762
261,manadhoo,5.7667,73.3833,80.74,67,32,7.2,MV,1675824763
262,nioro,13.35,-15.75,73.53,19,27,7.49,GM,1675824763
263,naze,28.3667,129.4833,61.72,67,95,14.34,JP,1675824763
264,sigli,5.3848,95.9609,80.94,74,99,3.74,ID,1675824600
265,cornelio procopio,-23.1811,-50.6467,65.43,95,28,3.4,BR,1675824764
266,hermosillo,29.0667,-110.9667,67.01,15,0,4.0,MX,1675824764
267,saskylakh,71.9167,114.0833,-29.52,100,100,0.11,RU,1675824765
268,hwange,-18.3693,26.5019,65.98,91,33,2.17,ZW,1675824765
269,salvador,13.8333,-88.9167,66.6,58,23,2.57,SV,1675824765
270,san quintin,30.4833,-115.95,58.48,52,0,2.19,MX,1675824766
271,blagoyevo,63.3667,47.9167,27.34,94,100,9.71,RU,1675824766
272,kavieng,-2.5744,150.7967,81.99,77,100,8.81,PG,1675824766
273,bathsheba,13.2167,-59.5167,74.01,94,40,11.5,BB,1675824767
274,cradock,-32.1642,25.6192,63.39,86,100,6.62,ZA,1675824767
275,yuci,37.6803,112.7319,35.35,38,100,17.9,CN,1675824767
276,edd,13.9297,41.6925,75.36,77,64,1.54,ER,1675824768
277,port lincoln,-34.7333,135.8667,74.95,57,23,8.72,AU,1675824768
278,mareeba,-17.0,145.4333,88.48,76,92,4.38,AU,1675824617
279,ures,29.4333,-110.4,57.58,17,0,6.49,MX,1675824769
280,kapuskasing,49.4169,-82.4331,17.69,73,100,17.27,CA,1675824769
281,hoquiam,46.9809,-123.8893,48.0,83,40,17.27,US,1675824578
282,leua,48.2156,18.6071,22.86,78,9,4.41,SK,1675824769
283,gizo,-8.103,156.8419,84.56,73,100,12.48,SB,1675824770
284,chitral,35.8462,71.7858,26.64,50,13,8.05,PK,1675824770
285,pangnirtung,66.1451,-65.7125,-29.18,84,5,5.23,CA,1675824770
286,ivanava,52.1451,25.5365,21.58,96,13,4.97,BY,1675824771
287,cherskiy,68.75,161.3,-27.76,95,100,5.64,RU,1675824771
288,salalah,17.0151,54.0924,68.09,52,0,6.91,OM,1675824772
289,yuancheng,36.652,107.7896,37.42,42,100,12.77,CN,1675824772
290,tazovskiy,67.4667,78.7,-10.05,100,100,8.55,RU,1675824772
291,agadez,19.75,10.25,63.72,21,100,3.13,NE,1675824773
292,saldanha,-33.0117,17.9442,62.65,89,0,11.79,ZA,1675824773
293,bardiyah,31.7561,25.0865,51.89,75,53,13.24,LY,1675824773
294,bonthe,7.5264,-12.505,75.45,80,31,4.59,SL,1675824774
295,boddam,57.4667,-1.7833,38.43,81,91,26.49,GB,1675824774
296,coihaique,-45.5752,-72.0662,62.55,67,75,2.3,CL,1675824494
297,fershampenuaz,53.5202,59.8117,-8.68,100,100,3.58,RU,1675824775
298,alofi,-19.0595,-169.9187,82.29,78,75,10.36,NU,1675824758
299,troitskoye,52.9821,84.6757,10.58,96,100,4.76,RU,1675824775
300,richards bay,-28.783,32.0377,72.27,96,11,7.78,ZA,1675824776
301,tolaga bay,-38.3667,178.3,69.89,66,100,8.66,NZ,1675824776
302,nome,64.5011,-165.4064,-7.53,77,0,0.0,US,1675824776
303,acari,-15.4311,-74.6158,76.86,79,65,3.94,PE,1675824777
304,acapulco,16.8634,-99.8901,76.15,76,2,5.21,MX,1675824620
305,gandajika,-6.75,23.95,64.2,93,100,2.51,CD,1675824777
306,upernavik,72.7868,-56.1549,-22.7,95,47,4.05,GL,1675824591
307,ribeira grande,38.5167,-28.7,55.78,65,27,4.0,PT,1675824778
308,dobsina,48.8207,20.3699,23.95,92,68,5.64,SK,1675824778
309,la libertad,-2.2333,-80.9,78.91,77,14,7.25,EC,1675824566
310,east hemet,33.74,-116.9389,60.58,41,0,1.01,US,1675824779
311,chokurdakh,70.6333,147.9167,-35.82,99,100,3.44,RU,1675824710
312,narsaq,60.9167,-46.05,-3.78,65,3,8.81,GL,1675824779
313,puerto escondido,15.85,-97.0667,77.04,73,2,6.58,MX,1675824779
314,matara,5.9485,80.5353,76.69,87,91,6.89,LK,1675824780
315,kapoeta,4.7717,33.5903,79.52,31,22,3.98,SS,1675824780
316,westport,41.1415,-73.3579,42.78,84,100,3.44,US,1675824660
317,bac lieu,9.285,105.7244,82.83,68,23,15.21,VN,1675824781
318,kimbe,-5.5502,150.1429,78.17,94,100,5.1,PG,1675824781
